,0
12,"Запускаємо нове опитування в Дії. Зможете обрати членів національного журі Євробачення-2023. Вони оцінюватимуть виступи виконавців з інших країн у фіналі пісенного конкурсу в Ліверпулі. 

Проголосувати можна за одного з 10 претендентів на суддівське крісло. До складу журі ввійдуть п’ять кандидатів, які наберуть найбільшу кількість голосів.

Опитування триватиме до 5 квітня. Встигніть підтримати свого фаворита. Вдячний кожному, хто голосує. Це допомагає нам будувати електронну демократію."
13,"Вже 500 компаній стали резидентами Дія.City.  

Один із найкращих податкових просторів світу обирають як технологічні гіганти, так і молоді стартапи. 

За останній місяць до Дія.City приєдналася глобальна ІТ-консалтингова та інжинірингова платформа Avenga з офісами по всьому світу. Український стартап Let's Enhance, який займається розвитком штучного інтелекту. Один з найбільших в Україні платіжних інтернет-сервісів EasyPay. 

Також активно долучаються edtech-стартапи, за якими бачу зараз величезний потенціал. До прикладу, Mate Academy, що навчає програмування. Або Nanit Robot, який розробляє edtech-hardware для дітей та дорослих. Щоб розвивати креативність та інженерні навички. 

Дякую резидентам за те, що обирають Україну як місце для розвитку та масштабування. Не бояться втілювати масштабні проєкти, створювати нові робочі місця та підсилювати цифрову економіку держави."
14,
15,"Українська армія активно трансформується та отримує унікальний досвід у найбільш технологічній війні в історії. Раніше разом з Генштабом анонсували створення перших у світі ударних рот БПЛА. З абсолютно новим підходом до менеджменту, навчання та доктрини застосування дронів.

Сьогодні перші три ударні роти БПЛА вже готові до бою. Разом з партнерами повністю їх укомплектували. Передали пікапи​, ударні коптери та Старлінки. Усі безпілотники українського виробництва. Обладнання для ударних рот Армії дронів придбали приватні донори. 

Безпілотники виконуватимуть розвідувальні та ударні місії. Наводитимуть артилерію, допоможуть воїнам бути максимально ефективними під час міських боїв та зберігати життя. Пікапи знадобляться для рейдів мобільних груп у тил ворога, доставки вантажів та евакуації поранених. Старлінки — безперебійний зв‘язок на полі бою. Все це — наша конкурентна перевага над росіянами. 

У межах проєкту Президента Володимира Зеленського UNITED24 Армія дронів переросла у велику державну програму підтримки розвитку БПЛА. 

Сміливість та технології зроблять багато для нашої перемоги. Щоб ми не втрачали найкращих людей. 

Продовжуємо розвивати Армію дронів разом із Генштабом, Держспецзв‘язку, Міноборони та UNITED24."
16,"Цифровізація освіти — один із топпріоритетів Мінцифри. Саме тому разом з партнерами реалізували ініціативу 5 000 iPad для українських школярів. Щоб діти зі зруйнованих росіянами шкіл могли продовжувати навчання. До проєкту приєднався ще один відповідальний бізнес. Київстар виділяє електронні сім-карти для девайсів з доступом до мобільного інтернету на рік.  

Щомісяця учні отримуватимуть 20 Гб мобільного інтернету. А ще діти зможуть користуватися Всеукраїнською школою онлайн, Wikipedia, Coursera, Prometheus, Zoom та Google classroom безоплатно. Це входить до послуги «Знання без меж» від Київстар.

Ініціативу 5 000 iPad для українських школярів реалізували разом з міжнародною компанією ASBISc Enterprises PLC, Комітетом Верховної Ради з питань освіти, науки та інновацій, Міністерством освіти і науки, Громадською організацією «СЕВЕН ФІЛДС»."
17,"Подивіться чудовий сюжет про IT ARMY на каналі ""Рада"". Ми за рік багато чому навчилися і багато що зробили, і так - IT ARMY of Ukraine це унікальне явище, яке будуть повторювати, але ми назавжди залишимося першою масовою волонтерською кіберармією в історії.
—
Watch a great story about IT ARMY on ""Rada"" channel. Over the course of a year, we have learned a lot and accomplished many things. IT ARMY of Ukraine is a unique phenomenon that will be replicated, but we will forever remain the first mass volunteer cyber army in history."
18,"Зміни в державі неможливі без лідерів, які драйвлять, мають чітку візію, критично дивляться на проблеми в системі й не бояться приймати важливі рішення. Такі люди потрібні на всіх рівнях — від міністерств та центральних органів влади — до обласних військових адміністрацій. Саме тому у 2020 ми запустили інститут CDTO — профільних заступників з цифровізації. 

Зараз працюють 17 CDTO в міністерствах, 21 в центральних органах влади та 16 в обласних військових адміністраціях. Ціль — CDTO у всіх органах державної влади і цифрові лідери у всіх територіальних громадах. 

Цими вихідними провели спільну зустріч. Щоб обговорити стратегію цифрової трансформації країни на 2023 рік та визначити подальші плани. 
  
Кожен CDTO на своєму рівні має бачити, що можна змінити та покращити, як спростити життя людини, прибравши зайву бюрократію. У нас вже є кейси, коли заступники з цифровізації доростали до очільників органів. Або коли CDTO своєю енергією та баченням настільки змінив філософію начальника, що той сам перетворився на драйвера цифровізації.  

Одне з головних завдань для CDTO — робити цифрові зміни на своєму рівні. Беремо нові сервіси й допомагаємо впровадити їх у кожному регіоні або державному органі. Потрібно ще більше сміливих та проактивних рішень. Від цього залежить майбутнє країни."
19,"​​Британська розвідка стверджує, що загроза з боку надводних безпілотників, ймовірно, обмежує операції Чорноморського флоту РФ — незважаючи на те, що останні атаки не завдали шкоди жодним військовим об'єктам"
20,"Зібрали понад 58 500 000 гривень через UNITED24 на дрони-камікадзе для ГУР. Усе завдяки проєкту «Міць. Українська кам’яна». Тепер розвідка отримає понад 2200 безпілотників FPV.

Це стало можливим завдяки кожному, хто придбав свою пачку міці. А також внескам наших донорів та бізнесу, який більше року безупинно підтримує армію. 

Наприкінці проєкту Rozetka та Сільпо взяли на себе частину витрат на собівартість солі. Другу частину покрили донори UNITED24. Тож кожна гривня збору (500 гривень з кожної пачки) направляється на дрони-камікадзе. Щоб усі українські міста були звільнені якнайшвидше. 

Ще понад 8 мільйонів гривень зібрали завдяки розіграшу п’ятьох пачок солі з автографом начальника ГУР Кирила Буданова.

Дякую нашим партнерам та кожному, хто долучився до збору. Міцні, коли разом."
21,"Прийняли ще одне революційне рішення, яке змінить хід війни. Продовжуємо будувати країну підприємців та цифровізувати освіту. Коротко про підсумки тижня та мої нові сфери відповідальності — дивіться у дайджесті."
22,"Топова технологічна компанія Nokia приєдналася до Дія.City. 

Резидентство надасть компанії найкращі правові й податкові умови, інструменти для залучення венчурних інвестицій та захист прав на інтелектуальну власність. Тепер компанія зможе активніше розвиватися в Україні та сприяти розвитку цифрової економіки.

До речі, команда Мінцифри співпрацює з Nokia у сфері розвитку інтернету і зв’язку. Компанія раніше передала 5000 роутерів для українських шкіл. Вони допомагають дітям продовжувати навчання в укриттях під час повітряних тривог.

Радий, що технологічні гіганти обирають наш простір. Чекаємо на нових резидентів."
23,"Історичне рішення, яке може пришвидшити нашу перемогу та розвинути ринок БПЛА в Україні. 

Неодмінним складником перемоги завжди були сміливі економічні та політичні рішення. Перша та Друга світова, В’єтнам чи Афганістан — крім подій на полі бою, у цих війнах також були вирішальними дії урядів, які створювали преференції та умови для розвитку оборонної галузі, диверсифікували економіку та переводили її на «військові рейки». 

Сьогодні Уряд дав старт масовому виробництву дронів в Україні. Ухвалено дійсно історичну постанову для перемоги, яка значно прискорить створення та постачання вітчизняних дронів на фронт, і головне — створить умови для стрімкого розвитку українського мілтек. 

У межах Координаційного штабу з виготовлення дронів комплексно попрацювали з усіма українськими виробниками БПЛА. Зібрали їхні болі та блокери і системно рухаємося у вирішенні питань. Разом з Міноборони, Мінекономіки, Мінстратегпром та Держспецзв‘язку.

Сьогоднішнє рішення дозволить виробникам БПЛА активніше розвиватися, масштабуватися, реінвестувати прибуток, конкурувати з іноземними компаніями. Замість витрачання місяців на непотрібну паперову та бюрократичну роботу — пришвидшений допуск БПЛА до експлуатації, їх закупка та постачання на фронт.

Важливо, що постанова фундаментально змінює підхід до самого мілтек-бізнесу з боку держави. Раніше прибуток на іноземні комплектуючі був 1%, на власні товари та послуги — 30%. Така регуляція стримувала розвиток українських виробників, стимулювала їх до переїзду за кордон чи маніпуляцій з документами. Це треба було змінити. Щоб стимулювати розвиток БПЛА в Україні і залучити більше компаній до виробництва, масштабування та підвищення рівня локалізації комплектуючих, держава підняла частку прибутку до 25%. 

Місяць тому ми вже прибрали проблему щодо експертного контролю товарів подвійного призначення, ухваливши fast-track для дронів. А зараз можемо офіційно сказати, що проєкт Армія дронів з умовно волонтерського переріс у масштабну державну програму підтримку розвитку вітчизняного ринку БПЛА. Це прямий шлях до перемоги та збереження життя захисників і захисниць. 

Дякую особисто Прем’єр-міністру за велику політичну волю та Уряду за підтримку важливої ініціативи. Працюємо далі."
24,"Продовжуємо цифровізувати сферу освіти. Передали 5 тисяч Apple iPad школам, які найбільше постраждали від російських обстрілів. 20 навчальних закладів у Київській, Чернігівській, Харківській та Миколаївській областях. Це стало можливим завдяки міжнародній компанії ASBISc Enterprises PLC.

Важливо, щоб українські діти продовжували навчатися попри повномасштабну війну. Наше завдання — зробити все, щоб навчальний процес був максимально ефективним. Завдяки планшетам діти зможуть навчатися з будь-якого куточка України. А також підвищувати свою цифрову грамотність.

Дякую партнерам ASBISc Enterprises PLC, Комітету Верховної Ради України з питань освіти, науки та інновацій, Міністерству освіти і науки України, а також Громадській організації «СЕВЕН ФІЛДС»."
25,"- Важливо не спускати ногу з газу - просто забути про work life balance та вигравати на коротких дистанціях будь якою ціною. Тримати цю енергію. Постійно давати цей імпульс. 

- Треба розуміти яку довгострокову ринкову перевагу ви будуєте. Мережевий ефект - В чому користь кожного нового юзера для тих, що вже існують. Що дасть масштаб вашим споживачам? 

 - Як мінімум треба відчувати бізнес модель - відчувати з самого початку, як ви заробите гроші. Навіть якщо точно не знаєте. Так само відчувати як ви будете зростати, де саме брати споживачів. 

 - Є чотири риси що об’єднують майже всіх успішних підприємців - Бережливість, фокус, пристрасть та любов. 

 - Чому стартап перемагає корпорації – в корпорації одна відповідь НІ, одного з начальників вбиває ідею.  А в стартапі ні. Їм плювати на ваше НІ. Вони можуть йти вперед до моменту поки хтось не скаже ТАК. Майже будь хто. Особливо для ідей, які виглядають як погані, хоча насправді вони хороші.  Один ТАК простіше отримати ніж ВСІ ТАК від усіх задіяних в ієрархії. 

 - Швидкість гнучкості. На ринках, що швидко змінюються, стартапи більш ефективні в пошуку.  Чим швидше ринок, тим більше рішень потрібно приймати і змін до продукту потрібно вводити.  Стартапи роблять це завжди швидше корпорацій. Якість рішень менеджерів у середньому гірша та точно повільніша ніж у підприємців. 

 - Стартапи розвиваються в кластерах.  Кластери і платформи - результати зрушень ринку, на які стартапи реагують першими.  Стратегічні повороти великих компаній завжди повільні, оскільки їм є що втрачати."
26,"Класний пост Андрія Федоріва:

«Все починається раніше ніж починається».

Мені стало цікаво, а хто Brandfather ChatGPT та OpenAI? 

Сем Альтман. 37 років. CEO та співзасновник. 

Вивчав програмування та компьютери в Стенфорді, але в 2005 році кинув й разом з партнером заснував соціальну мережу Loopt. Вона залучила $ 30млн, але не виконала плани зростання й її було закрито й продано за $43 млн. 

За три роки з part time партнера Сем в 2014 стає президентом Y Combinator (Каліфорнія). Наразі найвідоміший акселератор стартапів в світі. З нього вийшли airbnb, dropbox, stripe та тисячі інших успішних компаній. Також Альтман був ангельським інвестором у Pinterest, Reddit та багатьох інших.

OpenAi  з’явилась в 2015 та крім Альтмана в засновниках багато яскравих діячів, включаючи Пітера Тіля, Ілона Маска, Амазон web services та інших. Проект залучив вже більше $1 млрд. інвестицій.

У березні 2019 Сем пішов з операційної посади в Y Combinator, щоб сконцентруватися на OpenAI.

Незадовго до цього, в Серпені 2018, він прочитав публічну лекцію на 15 хвилин - «Як створити успішний стартап». Переклав для вас головні думки, а посилання залишу в коментарях. 

 - Спершу ви маєте створити продукт, про який люди будуть самі хотіти розповісти своїм друзям. Це просто сказати й складно зробити. Це 80% того, що треба для успіху. 

- Те, що ви створюєте має бути легко пояснити й легко зрозуміти. Лише кілька слів.  І хтось вже має сказати «вау!  Це цікаво""

 - Інвестори жорстко вимагають від стартапів зростання. Стартапи мають бути такими ж вибагливими до вибору ринків на яких працюють. Ідеально - поки маленький ринок, але який буде зростати за експонентою. 

 - Вмійте відрізняти справжні тренди від фейкових. Справжній тренд стане великою реальністю. А фейковий залишиться маленьким. Як відрізнити? Коли тренд реальний, перші споживачі верещать від захоплення.  А коли фейк - люди купують тому, що модно й на слуху. але не дуже то й використовують. Приклад - айфон на старті у 2017, коли цифри були малими, але всі божеволіли й проводили з ним кілька годин в день. Тоді щось фундаментально змінилось. Народилась нова платформа. Хоча юзерів було ще мало. Й навпаки - vr у 2018 му - багато говорять, навіть купують, але не використовують.

 - Головна функція Сео - заражати й заряджати всіх ентузіазмом. Амбіція має зростати разом з бізнесом. Люди будуть на це реагувати. Завжди легко залучити перших людей, давши їм долю в компанії. Але якщо амбіція помірна - ви не зможете зібрати багато талантів в одному місці. Що приведе до вас 20го співробітника? 50го? Чому вони оберуть вас, а не все інше в світі? Що такого важливого ви робите, що вони захочуть доєднатись? 

 - У засновника має бути чітка, визначена, конкретна картинка майбутнього.  Він має чітко знати й розповідати що трапиться далі. Й бути певним в цьому. Навіть якщо він не правий. Чіткість візії важливіша за те, чи вона вірна. 

 - Потенційний масштаб ідеї важливіше ніж шанс, що все вийде. Краще ризикувати заради масштабу, ніж погоджуватись на маленьке заради більшої ймовірності успіху. 

 - Команда. В певний момент кожен засновник має почути клік й переключитись зі створення першокласного продукту на створення першокласної команди. 

 - Оптимізм. Світ точно буде бити вас по обличчу. Без вогню віри, що все вийде, ці удари важко терпіти. 

 - Компаніі вкрай потрібні генератори ідей. Люди які весь час щось придумують. А давайте це, чи це. Критично важливо щоб постійно з’являлось багато нових ідей. При чому завжди більшість з них буде поганими. 

 - We ll figure it out - Ми розберемося! Багато що піде не за планом, все буде змінюватись. Але що важливо - в будь якому разі ми розберемося. 

- I ve got it! – я це зроблю! Без довгих оповідань чому ні, чому й чого немає. Замість цього, просто - я це зроблю! 

 - Дія. Коли завжди обмаль всіх ресурсів єдине що залишається - діяти швидко. Рухатись швидко. Не вийде - інше спробуємо.

 - Магія новачка.  Люди без досвіду здатні на неможливе, бо просто не знають, що це неможливо. Магія."
27,
28,"Середня швидкість мобільного інтернету в Україні має бути щонайменше 2 Мбіт/сек. Цього мінімально достатньо, щоб зумитися з колегами зі смартфона в дорозі. Чи публікувати відео в інстаграм та обмінюватися файлами без Wi-Fi. 

Така швидкість повинна бути в усіх населених пунктах та на дорогах, де є мобільний звʼязок. У містах фактичний показник значно вищий, а от у деяких селах — навпаки, через меншу кількість базових станцій.

Швидкість — один із показників, який оператори використовують як конкурентну перевагу. Проте в новому Законі про електронні комунікації такого показника немає. Через це в подальшому держава не зможе перевіряти, чи дійсно усюди достатня швидкість завантаження.

Зараз готуємо зміни до законодавства. Це дозволить державі контролювати швидкість. А вам — тестувати її та впливати на якість мобільного інтернету.

Щоб рухати цю ідею далі, важлива думка кожного з вас."
29,"3D-друк вже кілька років активно використовується у сфері мілтек. Він допомагає робити комплектуючі для зброї. 

Наприклад, шведський оборонний концерн Saab успішно експериментує з 3D-друком, розробляючи частини для винищувачів JAS39 Gripen. Цю практику треба розвивати і в Україні. Щоб пришвидшити виготовлення дронів, яких нам потрібно якомога більше. 

Українська Мейкерська Асоціація за підтримки Малої Академії Наук України та Fab Lab MiRONAFT організовують другий фестиваль 3D-друку RepRaUA. Щоб винахідники та бізнес об‘єднали зусилля та придумали технологічні рішення, які допоможуть нам посилити розвиток 3D-друку. 

Івент відбудеться 25 березня. Маєте круті ідеї та бажання знайти нових партнерів і однодумців — реєструйтеся за посиланням."
30,"Доопрацювали послугу шерингу автомобіля в Дії й запускаємо бета-тест скасування належного користувача. Раніше ви ділилися своїм техпаспортом з іншою людиною, тепер зможете скасувати шеринг — якщо більше не актуально або хочете поділитися авто з іншою людиною.

У бета-тестуванні беруть участь одразу двоє людей: власник авто та водій, якому шерять авто. Обом потрібно мати Дія.Підпис та вже пошерений автомобіль. Після тестування треба буде написати свій відгук.

Шеринг авто — надзвичайно зручна послуга. Ви можете дати право керувати авто іншій людині з будь-якого куточка світу. Під час війни це особливо актуальна потреба. За пів року понад 103 тисячі людей поділилися своїми автомобілями. Більше не треба думати, як передати фізичний техпаспорт родичам або близьким. До того ж, тепер зручно буде скасувати спільне користування автівкою.

Реєструйтеся на бета-тест просто зараз у чаботі."
31,"Ваші повідомлення у чатбот єВорог @evorog_bot відображаються в системі ситуаційної обізнаності ЗСУ. Одночасно з даними від спецслужб, дронів, супутників та камер спостереження. Після верифікації ці дані стають цілями для ураження.

Але починалося все трішки інакше. Перші п’ять днів після повномасштабного вторгнення троє військових вручну наносили повідомлення із чатів на мапу. Згодом цей формат переріс у ситуаційний центр, важливим джерелом інформації для якого також став наш чатбот єВорог.

На відео — приклад вашої успішної взаємодії із Силами оборони. Дякую за сміливість. Продовжуйте повідомляти у єВорог про техніку окупантів та ворожі позиції. Це вагомий внесок у перемогу України."
32,"Вже кілька годин поспіль російські терористи жорстоко обстрілюють моє рідне Запоріжжя. 
Ракета влучила у багатоповерхівку. Вогонь та біль. 
Країна-терорист ще раз доводить свій статус. 
Злочинці обов‘язково понесуть відповідальність."
33,
34,
35,
36,"Відкрили Дія.Бізнес центр у Луцьку. 

13-й в Україні. Один за кордоном — у Варшаві. У таких центрах українські підприємці можуть отримати безоплатні консультації та іншу допомогу для розвитку власного бізнесу. Проводити заходи, знайомитися з іншими підприємцями та знаходити фінансування для бізнес-ідей.

Продовжуємо працювати, щоб допомогти українському бізнесу з розвитком і масштабуванням. Будуємо країну підприємців."
37,"Відкриваємо доступ до 4-го безоплатного модуля з криптограмотності та блокчейну. Щоб ви навчалися правильно користуватися віртуальними активами. З топовими лекторами та експертами на платформі Дія.Цифрова освіта. 

Один із головних фокусів нашого фінального модуля — безпека в інтернеті. Зрозумієте, як знизити ризик викрадення криптовалют шахраями. Навчитеся розпізнавати фішингові e-mail, дізнаєтеся, як платити податки з криптовалютних операцій, та багато іншого. 

Долучайтеся до курсу за посиланням. 

Дякую за підтримку партнерам Filecoin Foundation for the Decentralized Web, WhiteBIT, Atlantis World, Aragon, Zapper.хyz, Safe, Optimism та zkSync."
38,"Новий підхід до управління системою освіти, розвиток інновацій та мілтек.

Верховна Рада проголосувала за призначення мене на позицію Віцепрем'єр-міністра з інновацій, розвитку освіти, науки та технологій.

Це велика відповідальність і водночас можливість позитивних змін в освіті та науці, яких дуже потребує Україна.  

Сьогодні ми зіткнулися з масштабними викликами. 

Через війну близько 1 млн дітей навчаються за кордоном, 1,5 млн навчаються онлайн. Понад 3 000 закладів освіти постраждали від бомбардувань та обстрілів, 370 із них зруйновані повністю. 

Але головне — світ не стоїть на місці. Поза нашою війною світ продовжує активно розвиватися. Наймогутніші держави з усіх сил конкурують за таланти. Технології змінюють актуальність професій. Освіта та наука потребують трансформації. Потрібні сміливіші та швидші зміни, щоб наші діти здобули знання, які відповідають викликам сучасності.  

З першого дня існування Мінцифри освіта була для нашої команди важливим напрямом роботи: 
— ми запустили освітню платформу Дія.Цифрова освіта (понад 1,5 млн пройшли навчання) та масштабуємо проєкт завдяки підтримці Google.оrg;
— запровадили предмети з підприємництва в багатьох вишах та школах (15 000 студентів);
— запустили пілот оновленого предмета з інформатики (50 шкіл); плануємо масштабувати проєкт на 4 мільйони учнів; 
— забезпечили 2000 шкіл та дитсадків швидкісним інтернетом, а понад 3000 — Wi-Fi в укриттях;
— допомогли отримати вчителям понад 60 000 ноутбуків, а учням — понад 4 000 планшетів;
— запустили програму для світчерів IT-Generation.

Тепер завдання нашої команди — допомогти Міністерству освіти та науки реалізувати якісні зміни. 

Ключові вектори нашої роботи: 

1. Новий підхід до управління системою освіти. Тотальна боротьба з бюрократією. 

Трансформування закладів освіти в такі, що підтримують та залучають талановитих викладачів за гідну оплату праці. Надання свободи управління ефективним менеджерам для реалізації змін. Трансформування освітніх просторів у сучасніші. Навчання для освітніх менеджерів та викладачів. Окрема роль розвитку англійської мови, цифрових навичок, підприємництва. Відкриття можливостей для талановитих науковців. Грантове й швидке фінансування проєктів. 

2. Цифровізація освіти. 

Розширення Дії на освітній напрям. Круті сервіси для школярів, студентів та батьків. Для викладачів — розвиток онлайн-системи для роботи з контентом, створення платформи для управління освітніми процесами та отримання даних для ухвалення якісних управлінських рішень.

3. Розроблення та впровадження стратегії розвитку інновацій України майбутнього. Відповідь на питання, як розвивати інновації в найближчі 3-5-10 років, щоб українці створювали мільярдні компанії та конкурували з технологічно розвиненими країнами. 

4. Розвиток мілтек. Напрям, якому ми присвятили весь 2022 рік. Ключовий для України. Тепер набуде додаткового прискорення. Плануємо запуск освітнього, інноваційного мілтек-кластеру, завдання якого — підтримувати та впроваджувати в життя ідеї, проєкти, пов'язані з військовими технологіями. Це пришвидшить нашу перемогу на полі бою та створить фундамент для економіки майбутнього.

Впевнений, що співпраця з профільним міністром, Оксеном Лісовим, буде максимально ефективною. Ми вже зробили перші кроки у формуванні спільного бачення стратегії розвитку освіти. 

Дякую Президенту України Володимиру Зеленському за ініціативу трансформування системи освіти, підтримку організаційних змін та кредит довіри. Дякую Прем'єр-міністру, парламенту за підтримку наших кандидатур на посади. Дякую кожному, хто підтримує та вірить у нашу команду."
